"Sanford, FL","Lorton, VA"
"South Bend, IN","Sandusky, OH"
"Milwaukee, WI","Glenview, IL"
"Mount Pleasant, IA","Osceola, IA"
"Philadelphia, PA","Maysville, KY"
"Boston, MA","Elyria, OH"
"Cut Bank, MT","Tomah, WI"
"Utica, NY","Schenectady, NY"
"Petersburg, VA","High Point, NC"
"Fort Madison, IA","Victorville, CA"
"La Crosse, WI","Rugby, ND"
"Tucson, AZ","Deming, NM"
"Yazoo City, MS","Kankakee, IL"
"Shelby, MT","Wolf Point, MT"
"Toccoa, GA","Greensboro, NC"
"Victorville, CA","Garden City, KS"
"Greenville, SC","Lynchburg, VA"
"Schriever, LA","Lafayette, LA"
"Mattoon, IL","Champaign-Urbana, IL"
"Vancouver, WA","Centralia, WA"
"Danville, VA","Charlotte, NC"
"Dyer, IN","Ashland, KY"
"Springfield, IL","McGregor, TX"
"Tomah, WI","Wolf Point, MT"
"Pomona, CA","St. Louis, MO"
"St. Louis, MO","Pomona, CA"
"Kissimmee, FL","Lakeland, FL"
"Kissimmee, FL","Winter Park, FL"
"Utica, NY","Worcester, MA"
"Tomah, WI","Glasgow, MT"
"Rugby, ND","Minot, ND"
"Joliet, IL","Malvern, AR"
"Salisbury, NC","Culpeper, VA"
"Kissimmee, FL","Denmark, SC"
"McGregor, TX","San Marcos, TX"
"Longview, TX","El Paso, TX"
"Roseville, CA",#N/A
"Martinsburg, WV","Cleveland, OH"
"Winslow, AZ","Riverside, CA"
"Maysville, KY","Culpeper, VA"
"Las Vegas, NM","La Junta, CO"
"Dunsmuir, CA","Santa Barbara, CA"
"Mount Pleasant, IA","Lincoln, NE"
"Sandpoint, ID","Spokane, WA"
"Vancouver, WA","Columbus, WI"
"Salisbury, NC","Slidell, LA"
"Devils Lake, ND","Vancouver, WA"
"Palatka, FL","Okeechobee, FL"
"Martinsburg, WV","Cumberland, MD"
"Poplar Bluff, MO","McGregor, TX"
"Mendota, IL","Naperville, IL"
"Wilson, NC","Selma, NC"
"Victorville, CA","Williams Junction, AZ"
"Boston, MA","Elkhart, IN"
"Helper, UT","Hastings, NE"
"Alpine, TX","Maricopa, AZ"
"Maysville, KY","Clifton Forge, VA"
"Toledo, OH","Pittsfield, MA"
"Wolf Point, MT","Tomah, WI"
"Winter Park/Fraser, CO","Grand Junction, CO"
"Ashland, KY","White Sulphur Springs, WV"
"Kingstree, SC","Palatka, FL"
"Red Wing, MN","Glasgow, MT"
"Winnemucca, NV","Galesburg, IL"
"Clifton Forge, VA","Charlottesville, VA"
"Denmark, SC","Petersburg, VA"
"Winter Park, FL","Camden, SC"
"Waterloo, IN","Rockville, MD"
"Connersville, IN","Newark, NJ"
"Mineola, TX","Temple, TX"
"La Junta, CO","Garden City, KS"
"High Point, NC","Greenville, SC"
"Sebring, FL","Winter Haven, FL"
"La Plata, MO","Newton, KS"
"Elkhart, IN","Cumberland, MD"
"Alderson, WV","Indianapolis, IN"
"Maricopa, AZ","Temple, TX"
"Wilmington, DE","Newark, NJ"
"Worcester, MA","Elkhart, IN"
"White Sulphur Springs, WV","South Shore-South Portsmouth, KY"
"Poughkeepsie, NY","Bryan, OH"
"Grand Forks, ND","Wolf Point, MT"
"McCook, NE","Ottumwa, IA"
"Okeechobee, FL","West Palm Beach, FL"
"Florence, SC","Kingstree, SC"
"Wilmington, DE","Ashland, KY"
"Salisbury, NC","Kannapolis, NC"
"Shelby, MT","Bingen-White Salmon, WA"
"Longview, TX","Pomona, CA"
"Rocky Mount, NC","Kingstree, SC"
"Connellsville, PA","Martinsburg, WV"
"Mendota, IL","Topeka, KS"
"Princeton, IL","Burlington, IA"
"Winter Park/Fraser, CO","Hastings, NE"
"Elyria, OH","Buffalo-Depew, NY"
"Omaha, NE","Osceola, IA"
"Temple, TX","Texarkana, AR"
"Burlington, IA","Reno, NV"
"Albany-Rensselaer, NY","Schenectady, NY"
"Little Rock, AR","Walnut Ridge, AR"
"Wisconsin Dells, WI","Rugby, ND"
"Elyria, OH","Croton Harmon, NY"
"Fort Worth, TX","Deming, NM"
"Red Wing, MN","Wishram, WA"
"Orlando, FL","Kissimmee, FL"
"Schriever, LA","New Orleans, LA"
"Picayune, MS","Tuscaloosa, AL"
"Hamlet, NC","Deerfield Beach, FL"
"Lordsburg, NM","Springfield, IL"
"Winnemucca, NV","Roseville, CA"
"Rhinecliff, NY","Syracuse, NY"
"Libby, MT","Staples, MN"
"Denmark, SC","Raleigh, NC"
"Longview, TX","Carlinville, IL"
"Detroit Lakes, MN","Edmonds, WA"
"Edmonds, WA","Detroit Lakes, MN"
"East Glacier Park, MT","Stanley, ND"
"Schenectady, NY","Boston, MA"
"Winter Haven, FL","Camden, SC"
"Cleburne, TX","Hope, AR"
"Columbus, WI","St. Cloud, MN"
"St. Cloud, MN","Portage, WI"
"Trenton, NJ","Quantico, VA"
"Crawfordsville, IN","Clifton Forge, VA"
"Lamy, NM","Dodge City, KS"
"Picayune, MS","Gastonia, NC"
"Pontiac, IL","Bloomington-Normal, IL"
"Princeton, IL","Kingman, AZ"
"Portage, WI","Stanley, ND"
"Kissimmee, FL","Deland, FL"
"Austin, TX","Malvern, AR"
"Elkhart, IN","Toledo, OH"
"Davis, CA",#N/A
"Charlottesville, VA","Lynchburg, VA"
"Greenville, SC","Danville, VA"
"Martinez, CA","Fort Morgan, CO"
"Gallup, NM","Garden City, KS"
"Marshall, TX","Ontario, CA"
"Ontario, CA","Poplar Bluff, MO"
"Poplar Bluff, MO","Ontario, CA"
"Los Angeles, CA","Pomona, CA"
"Kannapolis, NC","Salisbury, NC"
"Philadelphia, PA","Dyer, IN"
"Rugby, ND","Tomah, WI"
"Naperville, IL","Kingman, AZ"
"Provo, UT","Winnemucca, NV"
"Salt Lake City, UT","Holdrege, NE"
"Staunton, VA","Dyer, IN"
"Stanley, ND","Glenview, IL"
"Garden City, KS","Newton, KS"
"Dodge City, KS","Newton, KS"
"Lincoln, IL","Springfield, IL"
"Needles, CA","Newton, KS"
"Tuscaloosa, AL","Greenville, SC"
"Slidell, LA","High Point, NC"
"Tacoma, WA","Olympia-Lacey, WA"
"Mineola, TX","Tucson, AZ"
"Glasgow, MT","Red Wing, MN"
"Oxnard, CA","Los Angeles, CA"
"Trenton, NJ","Hinton, WV"
"Truckee, CA","Lincoln, NE"
"Philadelphia, PA","Wilmington, DE"
"Maricopa, AZ","Texarkana, AR"
"Libby, MT","Wolf Point, MT"
"San Marcos, TX","San Antonio, TX"
"Essex, MT","Minot, ND"
"San Marcos, TX","McGregor, TX"
"La Crosse, WI","Malta, MT"
"Schriever, LA","El Paso, TX"
"Provo, UT","Salt Lake City, UT"
"Vancouver, WA","Malta, MT"
"Toledo, OH","Alliance, OH"
"Alderson, WV","Philadelphia, PA"
"Springfield, MA","Sandusky, OH"
"Creston, IA","Mount Pleasant, IA"
"Libby, MT","St. Cloud, MN"
"Camden, SC","Lakeland, FL"
"Alexandria, VA","Manassas, VA"
"Chico, CA","Davis, CA"
"Centralia, WA","Tacoma, WA"
"Naperville, IL","Green River, UT"
"Topeka, KS","Winslow, AZ"
"Wilmington, DE","Quantico, VA"
"Southern Pines, NC","Cary, NC"
"New York, NY",#N/A
"Pontiac, IL","Austin, TX"
"St. Cloud, MN","La Crosse, WI"
"Taylor, TX","Alton, IL"
"Las Vegas, NM","Dodge City, KS"
"Toccoa, GA","Lynchburg, VA"
"Holdrege, NE","Osceola, IA"
"Truckee, CA","Provo, UT"
"Olympia-Lacey, WA","Centralia, WA"
"Vancouver, WA","Dunsmuir, CA"
"Brookhaven, MS","Hammond, LA"
"McGregor, TX","Bloomington-Normal, IL"
"Yuma, AZ","Deming, NM"
"Dodge City, KS","Lamy, NM"
"Fort Lauderdale, FL","Camden, SC"
"Helper, UT","Galesburg, IL"
"Winslow, AZ","La Plata, MO"
"Fort Madison, IA","La Junta, CO"
"La Crosse, WI","Essex, MT"
"La Crosse, WI","Portage, WI"
"Elko, NV","Glenwood Springs, CO"
"Princeton, IL","Osceola, IA"
"Roseville, CA","McCook, NE"
"Okeechobee, FL","Hamlet, NC"
"Shelby, MT","Wishram, WA"
"Colfax, CA","Osceola, IA"
"Hutchinson, KS","Trinidad, CO"
"Maricopa, AZ","Springfield, IL"
"San Marcos, TX","Yuma, AZ"
"Memphis, TN","Hazlehurst, MS"
"Deland, FL","Okeechobee, FL"
"Truckee, CA","Fort Morgan, CO"
"Essex, MT","Whitefish, MT"
"Palm Springs, CA","Lordsburg, NM"
"Osceola, IA","Richmond, CA"
"Danville, VA","Picayune, MS"
"Galesburg, IL","Mendota, IL"
"Picayune, MS","Danville, VA"
"Tucson, AZ","Poplar Bluff, MO"
"Walnut Ridge, AR","Benson, AZ"
"Palm Springs, CA","Deming, NM"
"Longview, TX","Deming, NM"
"Florence, SC","Selma, NC"
"Winslow, AZ","Las Vegas, NM"
"Culpeper, VA","Clemson, SC"
"Glasgow, MT","Cut Bank, MT"
"Williston, ND","Wolf Point, MT"
"Salisbury, NC","Selma, NC"
"Wishram, WA","Vancouver, WA"
"Fayetteville, NC","Selma, NC"
"Syracuse, NY","Rhinecliff, NY"
"Newton, KS","Needles, CA"
"Walnut Ridge, AR","Marshall, TX"
"Charlottesville, VA","Slidell, LA"
"Libby, MT","Whitefish, MT"
"Southern Pines, NC","Palatka, FL"
"Trenton, NJ","Baltimore, MD"
"Newton, KS","Mendota, IL"
"Selma, NC","Fayetteville, NC"
"Wisconsin Dells, WI","Detroit Lakes, MN"
"Bloomington-Normal, IL","Taylor, TX"
"Granby, CO","Roseville, CA"
"Red Wing, MN","Havre, MT"
"Staunton, VA","Prince, WV"
"Taylor, TX","Bloomington-Normal, IL"
"Taylor, TX","Texarkana, AR"
"Montgomery, WV","Chicago, IL"
"Sacramento, CA",#N/A
"Cary, NC","Petersburg, VA"
"Shelby, MT","Malta, MT"
"Mattoon, IL","Brookhaven, MS"
"Creston, IA","Princeton, IL"
"Trenton, NJ","Slidell, LA"
"Princeton, IL","Ottumwa, IA"
"Erie, PA","Bryan, OH"
"Little Rock, AR","Pontiac, IL"
"St. Cloud, MN","Cut Bank, MT"
"Davis, CA","Roseville, CA"
"Ontario, CA","Hope, AR"
"Ontario, CA","Malvern, AR"
"Palm Springs, CA","Walnut Ridge, AR"
"St. Louis, MO","Palm Springs, CA"
"Burlington, IA","Ottumwa, IA"
"Fort Worth, TX","Palm Springs, CA"
"Palm Springs, CA","McGregor, TX"
"Fort Lauderdale, FL","Petersburg, VA"
"Winslow, AZ","Barstow, CA"
"Jesup, GA","Palatka, FL"
"Pittsfield, MA","Buffalo-Depew, NY"
"Princeton, IL","Hastings, NE"
"Sandpoint, ID","Whitefish, MT"
"Carlinville, IL","Texarkana, AR"
"Maricopa, AZ","Lordsburg, NM"
"Colfax, CA","Winnemucca, NV"
"Camden, SC","Raleigh, NC"
"Staples, MN","Fargo, ND"
"Lakeland, FL","Southern Pines, NC"
"South Bend, IN","Rhinecliff, NY"
"Mendota, IL","Newton, KS"
"Buffalo-Depew, NY","Elyria, OH"
"Hutchinson, KS","Dodge City, KS"
"Gainesville, GA","Picayune, MS"
"Carlinville, IL","Fort Worth, TX"
"Dunsmuir, CA","Olympia-Lacey, WA"
"Washington, DC","Alderson, WV"
"Grand Forks, ND","Stanley, ND"
"Fort Morgan, CO","McCook, NE"
"Trinidad, CO","Dodge City, KS"
"Montgomery, WV","Washington, DC"
"Baltimore, MD","Quantico, VA"
"South Shore-South Portsmouth, KY","White Sulphur Springs, WV"
"Schenectady, NY","Springfield, MA"
"Colfax, CA","Sacramento, CA"
"Vancouver, WA","Wishram, WA"
"Temple, TX","Marshall, TX"
"Dyer, IN","Clifton Forge, VA"
"Sandpoint, ID","Glasgow, MT"
"Alton, IL","Maricopa, AZ"
"Gainesville, GA","Spartanburg, SC"
"Helper, UT","Winnemucca, NV"
"Lafayette, IN","Ashland, KY"
"Petersburg, VA","Winter Haven, FL"
"Anniston, AL","Gainesville, GA"
"Toledo, OH","Bryan, OH"
"Lake Charles, LA","Del Rio, TX"
"Detroit Lakes, MN","Winona, MN"
"Marshall, TX","Temple, TX"
"Wilmington, DE","Hamlet, NC"
"Winter Haven, FL","Lakeland, FL"
"Selma, NC","Rocky Mount, NC"
"Charlottesville, VA","Laurel, MS"
"Cut Bank, MT","Winona, MN"
"Portage, WI","Havre, MT"
"Winona, MN","Cut Bank, MT"
"Galesburg, IL","Fort Madison, IA"
"Malta, MT","Portage, WI"
"Richmond, CA","Elko, NV"
"Lynchburg, VA","Salisbury, NC"
"Hamlet, NC","Delray Beach, FL"
"Kissimmee, FL","Orlando, FL"
"La Junta, CO","Lamy, NM"
"Laurel, MS","Greensboro, NC"
"Wolf Point, MT","Libby, MT"
"Los Angeles, CA",#N/A
"Longview, TX","Hope, AR"
"Culpeper, VA","Charlotte, NC"
"Worcester, MA","Cleveland, OH"
"El Paso, TX","McGregor, TX"
"Culpeper, VA","Maysville, KY"
"Marshall, TX","San Marcos, TX"
"Alpine, TX","Pontiac, IL"
"Fort Morgan, CO","Winnemucca, NV"
"Portage, WI","Devils Lake, ND"
"Staples, MN","Shelby, MT"
"Winslow, AZ","Kingman, AZ"
"Wisconsin Dells, WI","Devils Lake, ND"
"Stanley, ND","Minot, ND"
"High Point, NC","Hattiesburg, MS"
"Kissimmee, FL","Hamlet, NC"
"Maricopa, AZ","McGregor, TX"
"Elkhart, IN","Elyria, OH"
"Charlotte, NC","Spartanburg, SC"
"Santa Barbara, CA","Centralia, WA"
"Dallas, TX","Yuma, AZ"
"Hutchinson, KS","Las Vegas, NM"
"Osceola, IA","Holdrege, NE"
"Mendota, IL","Lawrence, KS"
"Montgomery, WV","Baltimore, MD"
"Flagstaff, AZ","Williams Junction, AZ"
"Princeton, IL","McCook, NE"
"Malta, MT","Sandpoint, ID"
"New Iberia, LA","Lake Charles, LA"
"Deming, NM","Springfield, IL"
"Prince, WV","Dyer, IN"
"Springfield, IL","Deming, NM"
"Maysville, KY","Cincinnati, OH"
"Ashland, KY","Trenton, NJ"
"Las Vegas, NM","Hutchinson, KS"
"Petersburg, VA","Selma, NC"
"Spartanburg, SC","Culpeper, VA"
"Greenwood, MS","McComb, MS"
"Deland, FL","Palatka, FL"
"Deland, FL","Denmark, SC"
"Quantico, VA","High Point, NC"
"Selma, NC","Salisbury, NC"
"Lafayette, IN","Clifton Forge, VA"
"Centralia, WA","Davis, CA"
"West Palm Beach, FL","Hamlet, NC"
"Deland, FL","Lakeland, FL"
"Hinton, WV","Culpeper, VA"
"McComb, MS","Greenwood, MS"
"Cary, NC","Southern Pines, NC"
"Galesburg, IL","Princeton, IL"
"Laurel, MS","Culpeper, VA"
"Alton, IL","Cleburne, TX"
"Lake Charles, LA","Benson, AZ"
"Redding, CA","Chico, CA"
"Greensboro, NC","Culpeper, VA"
"Cut Bank, MT","Havre, MT"
"Salisbury, NC","Tuscaloosa, AL"
"Baltimore, MD","Wilmington, DE"
"Slidell, LA","Clemson, SC"
"Barstow, CA","Garden City, KS"
"Reno, NV","Fort Morgan, CO"
"Rugby, ND","Staples, MN"
"Essex, MT","Everett, WA"
"Tucson, AZ","Benson, AZ"
"Deerfield Beach, FL","Southern Pines, NC"
"Greenville, SC","High Point, NC"
"Fort Worth, TX","Alpine, TX"
"McCook, NE","Roseville, CA"
"Portage, WI","La Crosse, WI"
"Victorville, CA","Riverside, CA"
"Clemson, SC","Trenton, NJ"
"Alexandria, VA","Denmark, SC"
"Slidell, LA","Hattiesburg, MS"
"Deland, FL","Winter Haven, FL"
"Winter Park/Fraser, CO","Salt Lake City, UT"
"Culpeper, VA","Spartanburg, SC"
"Del Rio, TX","New Orleans, LA"
"Taylor, TX","Benson, AZ"
"Topeka, KS","La Plata, MO"
"Yemassee, SC","Deland, FL"
"Burbank, CA","Chico, CA"
"Greensboro, NC","Gastonia, NC"
"Centralia, WA","Olympia-Lacey, WA"
"Alexandria, VA","Washington, DC"
"Dallas, TX","Del Rio, TX"
"El Paso, TX","Mineola, TX"
"Rugby, ND","West Glacier, MT"
"St. Paul-Minneapolis, MN","St. Cloud, MN"
"Kissimmee, FL","Jesup, GA"
"Van Nuys, CA","Vancouver, WA"
"Winter Haven, FL","Hamlet, NC"
"Columbia, SC","Okeechobee, FL"
"Grand Forks, ND","Rugby, ND"
"Rhinecliff, NY","Buffalo-Depew, NY"
"Lafayette, LA","Schriever, LA"
"Charlottesville, VA","Clifton Forge, VA"
"Camden, SC","Palatka, FL"
"Effingham, IL","Yazoo City, MS"
"Winnemucca, NV","Helper, UT"
"Ashland, KY","Newark, NJ"
"Poughkeepsie, NY","New York, NY"
"Texarkana, AR","Lincoln, IL"
"Chemult, OR","Albany, OR"
"Cut Bank, MT","Shelby, MT"
"Benson, AZ","Temple, TX"
"Devils Lake, ND","Sandpoint, ID"
"Wolf Point, MT","Portage, WI"
"Marshall, TX","Mineola, TX"
"Osceola, IA","Lincoln, NE"
"Crawfordsville, IN","Manassas, VA"
"Manassas, VA","Crawfordsville, IN"
"Palm Springs, CA","Longview, TX"
"Trenton, NJ","Clifton Forge, VA"
"Wenatchee, WA","Cut Bank, MT"
"Wolf Point, MT","Grand Forks, ND"
"Burlington, IA","Creston, IA"
"Tucson, AZ","Maricopa, AZ"
"Sanderson, TX","San Antonio, TX"
"Hattiesburg, MS","Gastonia, NC"
"Malta, MT","Rugby, ND"
"Montgomery, WV","Trenton, NJ"
"Fort Madison, IA","Needles, CA"
"Hinton, WV","Newark, NJ"
"Holdrege, NE","Salt Lake City, UT"
"Newark, NJ",#N/A
"Davis, CA",#N/A
"Alliance, OH","Toledo, OH"
"High Point, NC","Meridian, MS"
"Sandpoint, ID","Bingen-White Salmon, WA"
"Baltimore, MD","Clifton Forge, VA"
"Elyria, OH","Poughkeepsie, NY"
"Kankakee, IL","Mattoon, IL"
"Meridian, MS","Spartanburg, SC"
"Chico, CA","Simi Valley, CA"
"Tuscaloosa, AL","Laurel, MS"
"Delray Beach, FL","Hamlet, NC"
"Detroit Lakes, MN","Libby, MT"
"Picayune, MS","Clemson, SC"
"Slidell, LA","Spartanburg, SC"
"Deerfield Beach, FL","Okeechobee, FL"
"Los Angeles, CA","Fullerton, CA"
"Erie, PA","Buffalo-Depew, NY"
"Trinidad, CO","Raton, NM"
"Durham, NC","Selma, NC"
"Culpeper, VA","Toccoa, GA"
"Osceola, IA","Princeton, IL"
"Devils Lake, ND","Wolf Point, MT"
"Devils Lake, ND","Williston, ND"
"Dyer, IN","Hinton, WV"
"Glasgow, MT","Fargo, ND"
"Newbern-Dyersburg, TN","Memphis, TN"
"Toccoa, GA","Charlottesville, VA"
"Chico, CA","Kelso-Longview, WA"
"Austin, TX","Lincoln, IL"
"Lincoln, IL","Austin, TX"
"Needles, CA","Dodge City, KS"
"Ottumwa, IA","Green River, UT"
"Martinsburg, WV","Sandusky, OH"
"Okeechobee, FL","Columbia, SC"
"Princeton, IL","Victorville, CA"
"Wisconsin Dells, WI","Wenatchee, WA"
"Wenatchee, WA","Wisconsin Dells, WI"
"Croton Harmon, NY","Sandusky, OH"
"Fullerton, CA","Barstow, CA"
"Lincoln, IL","Fort Worth, TX"
"Montgomery, WV","Dyer, IN"
"Rochester, NY","Buffalo-Depew, NY"
"Winnemucca, NV","Davis, CA"
"Elko, NV","Davis, CA"
"Leavenworth, WA","Williston, ND"
"Sandusky, OH","Martinsburg, WV"
"Petersburg, VA","Fredericksburg, VA"
"Alderson, WV","New York, NY"
"Albany, OR","Dunsmuir, CA"
"Trenton, NJ","Hollywood, FL"
"Walnut Ridge, AR","Texarkana, AR"
"Wolf Point, MT","Williston, ND"
"Lamy, NM","Mendota, IL"
"Bryan, OH","Boston, MA"
"Lamar, CO","Dodge City, KS"
"Holdrege, NE","Fort Morgan, CO"
"Lincoln, NE","Green River, UT"
"Winter Park, FL","Lake Charles, LA"
"San Marcos, TX","Alpine, TX"
"Schriever, LA","Tucson, AZ"
"East Glacier Park, MT","Glasgow, MT"
"Oakland, CA","Kelso-Longview, WA"
"Richmond, VA","Okeechobee, FL"
"Hinton, WV","White Sulphur Springs, WV"
"White Sulphur Springs, WV","Cincinnati, OH"
"Ashland, KY","Hinton, WV"
"Barstow, CA","Kingman, AZ"
"Hinton, WV","Ashland, KY"
"Cut Bank, MT","Stanley, ND"
"Bingen-White Salmon, WA","Vancouver, WA"
"Bingen-White Salmon, WA","Shelby, MT"
"Elkhart, IN","Rhinecliff, NY"
"Sebring, FL","Kingstree, SC"
"Sandusky, OH","Elyria, OH"
"Victorville, CA","Mendota, IL"
"Libby, MT","Glasgow, MT"
"McGregor, TX","Mineola, TX"
"Cleburne, TX","Fort Worth, TX"
"Yuma, AZ","Pomona, CA"
"St. Louis, MO","Lincoln, IL"
"Boston, MA","Worcester, MA"
"Williams Junction, AZ","Kingman, AZ"
"Cleburne, TX","Alton, IL"
"Kingstree, SC","Deerfield Beach, FL"
"Temple, TX","Alpine, TX"
"Garden City, KS","Fort Madison, IA"
"Chicago, IL","Pomona, CA"
"Glasgow, MT","Portage, WI"
"Winter Park, FL","Yemassee, SC"
"Lafayette, LA","Alpine, TX"
"Fort Morgan, CO","Truckee, CA"
"Garden City, KS","Raton, NM"
"San Marcos, TX","Arkadelphia, AR"
"White Sulphur Springs, WV","Huntington, WV"
"Framingham, MA","Elyria, OH"
"Indianapolis, IN","Ashland, KY"
"Kankakee, IL","McComb, MS"
"Ottumwa, IA","Burlington, IA"
"Truckee, CA","Colfax, CA"
"Philadelphia, PA","South Shore-South Portsmouth, KY"
"Burlington, IA","Holdrege, NE"
"Laurel, MS","Hattiesburg, MS"
"La Crosse, WI","Wolf Point, MT"
"Pittsburgh, PA","Connellsville, PA"
"Tuscaloosa, AL","Salisbury, NC"
"Elko, NV","Green River, UT"
"Grand Forks, ND","Glasgow, MT"
"Palm Springs, CA","Schriever, LA"
"Schriever, LA","Palm Springs, CA"
"Pontiac, IL","Alton, IL"
"Martinez, CA","Helper, UT"
"Green River, UT","Provo, UT"
"Pittsfield, MA","Rochester, NY"
"Dunsmuir, CA","Centralia, WA"
"Havre, MT","Rugby, ND"
"West Glacier, MT","Whitefish, MT"
"Spartanburg, SC","Lynchburg, VA"
"Mineola, TX","Poplar Bluff, MO"
"Effingham, IL","McComb, MS"
"Red Wing, MN","Wolf Point, MT"
"Wolf Point, MT","Red Wing, MN"
"Alpine, TX","Lake Charles, LA"
"Malta, MT","St. Cloud, MN"
"White Sulphur Springs, WV","Ashland, KY"
"Centralia, WA","Salinas, CA"
"Temple, TX","McGregor, TX"
"New York, NY","Poughkeepsie, NY"
"Cut Bank, MT","Leavenworth, WA"
"Leavenworth, WA","Cut Bank, MT"
"McCook, NE","Reno, NV"
"Winter Haven, FL","Sebring, FL"
"Cleburne, TX","Maricopa, AZ"
"Maricopa, AZ","Cleburne, TX"
"Devils Lake, ND","Grand Forks, ND"
"Essex, MT","Fargo, ND"
"Lynchburg, VA","Clemson, SC"
"Toccoa, GA","Slidell, LA"
"Portage, WI","Winona, MN"
"San Marcos, TX","Ontario, CA"
"Raleigh, NC","Camden, SC"
"Burlington, IA","Lincoln, NE"
"Cleburne, TX","Longview, TX"
"Lafayette, IN","Indianapolis, IN"
"Pontiac, IL","Poplar Bluff, MO"
"Taylor, TX","Tucson, AZ"
"Cleburne, TX","Walnut Ridge, AR"
"Detroit Lakes, MN","Wisconsin Dells, WI"
"Elyria, OH","Sandusky, OH"
"Sandusky, OH","Springfield, MA"
"Taylor, TX","Arkadelphia, AR"
"Longview, TX","Cleburne, TX"
"Chemult, OR","Kelso-Longview, WA"
"Joliet, IL","Arkadelphia, AR"
"Palm Springs, CA","Benson, AZ"
"Pasco, WA","Bingen-White Salmon, WA"
"Texarkana, AR","Cleburne, TX"
"Springfield, IL","Hope, AR"
"Lafayette, LA","Beaumont, TX"
"Laurel, MS","Tuscaloosa, AL"
"Salisbury, NC","Greenville, SC"
"Culpeper, VA","Huntington, WV"
"Carbondale, IL","Newbern-Dyersburg, TN"
"Lincoln, IL","Bloomington-Normal, IL"
"Essex, MT","East Glacier Park, MT"
"Essex, MT","Bingen-White Salmon, WA"
"Elkhart, IN","Sandusky, OH"
"Lakeland, FL","Denmark, SC"
"Lincoln, NE","Holdrege, NE"
"Lafayette, LA","Lake Charles, LA"
"Minot, ND","Stanley, ND"
"Hamlet, NC","Cary, NC"
"Lawrence, KS","Lamar, CO"
"Arkadelphia, AR","Joliet, IL"
"Libby, MT","Vancouver, WA"
"Arkadelphia, AR","Cleburne, TX"
"Longview, TX","Yuma, AZ"
"Omaha, NE","Richmond, CA"
"Richmond, CA","Omaha, NE"
"Winslow, AZ","Gallup, NM"
"Mineola, TX","McGregor, TX"
"Everett, WA","Glenview, IL"
"Galesburg, IL","Richmond, CA"
"Havre, MT","Wenatchee, WA"
"Provo, UT","Elko, NV"
"Lamar, CO","Trinidad, CO"
"Cary, NC","Denmark, SC"
"Pittsfield, MA","Framingham, MA"
"Riverside, CA","Williams Junction, AZ"
"Dillon, SC","Selma, NC"
"Raton, NM","Hutchinson, KS"
"Cumberland, MD","Harpers Ferry, WV"
"Connellsville, PA","Pittsburgh, PA"
"Anniston, AL","Lynchburg, VA"
"Lordsburg, NM","Ontario, CA"
"Dodge City, KS","Winslow, AZ"
"Dodge City, KS","Needles, CA"
"Pontiac, IL","Alpine, TX"
"Temple, TX","Taylor, TX"
"St. Cloud, MN","Wolf Point, MT"
"Baltimore, MD","Culpeper, VA"
"Austin, TX","Del Rio, TX"
"Fort Madison, IA","Las Vegas, NM"
"Glenview, IL","Leavenworth, WA"
"Hamlet, NC","Winter Haven, FL"
"Kissimmee, FL","Wilson, NC"
"Martinsburg, WV","Elyria, OH"
"Williston, ND","Leavenworth, WA"
"Spokane, WA","Essex, MT"
"Kelso-Longview, WA","Simi Valley, CA"
"Sandusky, OH","Poughkeepsie, NY"
"Dunsmuir, CA","Redding, CA"
"Trenton, NJ","Ashland, KY"
"West Glacier, MT","Shelby, MT"
"Simi Valley, CA","Oxnard, CA"
"Hope, AR","Longview, TX"
"Culpeper, VA","Hinton, WV"
"Huntington, WV","Charleston, WV"
"Florence, SC","Delray Beach, FL"
"Minot, ND","Rugby, ND"
"Kelso-Longview, WA","Salinas, CA"
"Kingstree, SC","Delray Beach, FL"
"Taylor, TX","Little Rock, AR"
"Cumberland, MD","Alliance, OH"
"Ottumwa, IA","Creston, IA"
"Cleburne, TX","Malvern, AR"
"McCook, NE","Mount Pleasant, IA"
"Dodge City, KS","Lamar, CO"
"Glenview, IL","Staples, MN"
"Portage, WI","St. Cloud, MN"
"Lordsburg, NM","Houston, TX"
"Dodge City, KS","Raton, NM"
"Topeka, KS","Needles, CA"
"Greensboro, NC","Danville, VA"
"Minot, ND","Cut Bank, MT"
"Rhinecliff, NY","South Bend, IN"
"Princeton, IL","Lincoln, NE"
"El Paso, TX","Walnut Ridge, AR"
"Detroit Lakes, MN","East Glacier Park, MT"
"Fort Madison, IA","La Plata, MO"
"Toledo, OH","Framingham, MA"
"Manassas, VA","Salisbury, NC"
"Princeton, IL","Galesburg, IL"
"Slidell, LA","Wilmington, DE"
"Texarkana, AR","Marshall, TX"
"Mount Pleasant, IA","Elko, NV"
"Buffalo-Depew, NY","Pittsfield, MA"
"Glenwood Springs, CO","Elko, NV"
"Salt Lake City, UT","Fort Morgan, CO"
"Jackson, MS","Effingham, IL"
"New Orleans, LA","Sanderson, TX"
"Sanderson, TX","New Orleans, LA"
"Maysville, KY","Indianapolis, IN"
"Creston, IA","Burlington, IA"
"Syracuse, NY","Pittsfield, MA"
"Fort Morgan, CO","Holdrege, NE"
"Creston, IA","Martinez, CA"
"Carlinville, IL","Walnut Ridge, AR"
"Cut Bank, MT","Rugby, ND"
"Picayune, MS","Meridian, MS"
